Vestec u Prahy Středočeský kraj,2+1,68 ,16400,3600
Jungmannova Havířov-město Moravskoslezský kraj,2+1,51 ,6250,0
Matuškova Havířov-město Moravskoslezský kraj,1+1,35 ,5970,0
Místní Havířov-město Moravskoslezský kraj,2+1,55 ,6750,0
České Budějovice - Třebotovice Jihočeský kraj,2+1,78 ,13000,4000
Praha - Vyšehrad,1+1,44 ,18000,1500
Pisárecká Brno - Pisárky Jihomoravský kraj,1+kk,20 ,20250,6750
Vinohradská Praha - Vinohrady,2+1,52 ,34920,11640
třída Generála Píky Brno - Černá Pole Jihomoravský kraj,1+kk,35 ,11900,2400
Praha - Strašnice,2+1,57 ,21500,1400
Pod Vápenkou Psáry Středočeský kraj,3+kk,80 ,20000,0
Jihlava - Horní Kosov Kraj Vysočina,3+kk,63 ,15000,5000
Biskupcova Praha - Žižkov,2+kk,49 ,16500,4500
Loosova Praha - Háje,2+kk,50 ,18500,4000
Purkyňova Karviná-město Moravskoslezský kraj,2+1,48 ,4470,0
Na Vítězné pláni Praha - Nusle,Garsoniéra,27 ,12500,3500
Klecandova Brno - Černá Pole Jihomoravský kraj,2+1,55 ,14000,3500
Jarníkova Praha - Chodov,2+kk,46 ,16200,3800
Mojmírovců Ostrava - Mariánské Hory Moravskoslezský kraj,2+1,49 ,8350,0
Na Jezerce Praha - Nusle,Garsoniéra,18 ,11000,2000
Praha - Vokovice,4+1,94 ,27999,3900
Jakobiho Praha - Petrovice,2+kk,43 ,10000,4500
Jakutská Praha - Vršovice,1+kk,20 ,13167,1333
Praha - Libeň,3+kk,74 ,28000,5000
Pardubice Pardubický kraj,2+1,46 ,14000,2000
Národní třída Havířov-město Moravskoslezský kraj,2+1,51 ,6250,0
Sazovická Praha - Zličín,2+kk,55 ,20000,4808
Rečkova Praha - Žižkov,2+kk,55 ,41250,13750
Kapitána Vajdy Havířov-město Moravskoslezský kraj,2+1,51 ,6550,0
Stavební Horní Suchá Moravskoslezský kraj,1+1,38 ,4950,0
Zenklova Praha - Libeň,4+1,85 ,6900,0
Národní třída Havířov-město Moravskoslezský kraj,2+1,52 ,6900,0
Spolková Brno - Zábrdovice Jihomoravský kraj,1+kk,31 ,12000,2500
Staroměstské náměstí Mladá Boleslav Středočeský kraj,Garsoniéra,38 ,12500,2500
Praha - Libeň,1+kk,25 ,12000,2634
Boháčova Ostrava - Michálkovice Moravskoslezský kraj,2+kk,46 ,8540,0
Podléšková Praha - Záběhlice,2+kk,35 ,13900,3900
Praha - Háje,2+kk,42 ,18500,3500
Chuchelná Moravskoslezský kraj,2+1,57 ,7805,4000
Praha - Řeporyje,2+kk,79 ,23500,4000
Brno - Štýřice Jihomoravský kraj,1+1,41 ,15000,3000
Fibichova Havířov-město Moravskoslezský kraj,2+1,53 ,6400,0
Milešovská Praha - Vinohrady,1+1,40 ,17000,3500
Tábor Jihočeský kraj,3+kk,58 ,5500,8000
Praha - Podolí,1+kk,33 ,13500,2500
Praha - Vokovice,3+1,77 ,23000,4000
Praha - Holešovice,1+1,32 ,14500,1487
Radouňova Praha - Řeporyje,2+kk,55 ,22000,5000
Chuchelná Moravskoslezský kraj,2+1,57 ,5600,4000
Březová Brno - Jundrov Jihomoravský kraj,1+1,40 ,13536,4512
Čechova Praha - Bubeneč,2+1,75 ,28350,9450
Brno - Lesná Jihomoravský kraj,2+1,58 ,13000,3800
Praha - Bohnice,3+1,72 ,18000,750
Praha - Nusle,2+1,80 ,19900,3200
Praha - Vršovice,2+kk,45 ,15000,650
Příkop Brno - Zábrdovice Jihomoravský kraj,1+1,57 ,13500,3500
Hořice v Podkrkonoší Královéhradecký kraj,2+1,71 ,10500,2120
Hrnčířská Jesenice - Zdiměřice u Prahy Středočeský kraj,1+kk,37 ,13000,3000
Vondrákova Brno - Bystrc Jihomoravský kraj,2+1,58 ,14800,4500
Praha - Modřany,1+kk,35 ,14500,4000
Podunajské Biskupice Bratislavský kraj,Jed,nopokojový43 ,420€,70€
Praha - Vysočany,3+kk,81 ,22000,6000
Káraný Středočeský kraj,Garsoniéra,48 ,10000,2000
Renneská třída Brno - Štýřice Jihomoravský kraj,2+kk,43 ,16200,5400
Celní Brno - Štýřice Jihomoravský kraj,1+kk,45 ,12500,2200
Březinova Praha - Karlín,2+1,77 ,30375,10125
Čajkovského Praha - Žižkov,2+kk,50 ,25920,8640
Kamýcká Praha - Suchdol,3+kk,75 ,22000,1
Žitná Hostivice - Litovice Středočeský kraj,1+kk,31 ,9500,2000
Vašatova Kladno Středočeský kraj,2+kk,42 ,13500,3500
Jaurisova Praha - Nusle,2+kk,51 ,14900,2900
Praha - Libuš,2+kk,65 ,20000,1750
Žerotínova Praha - Žižkov,1+1,51 ,14500,5500
Smetanovo nábřeží Hradec Králové Královéhradecký kraj,3+kk,70 ,16000,3500
Slovenský Grob Bratislavský kraj,Dvo,upokojový60 ,450€,200€
Divadelní Praha - Staré Město,4+1,110 ,53510,17836
Francouzská Praha - Vinohrady,2+1,80 ,42075,14025
Penízovková Praha - Pitkovice,1+kk,42 ,15000,2000
Praha - Chodov,3+kk,72 ,20000,2700
Praha - Vršovice,3+kk,84 ,23000,6000
Nový Hradec Králové Královéhradecký kraj,1+1,35 ,12000,1000
Podvinný mlýn Praha - Libeň,4+1,90 ,25000,5000
