Lokace,Velikost,Metry2,Cena,Služby
Moravskoslezský kraj,2+1,51 ,6250,0
Moravskoslezský kraj,1+1,35 ,5970,0
Moravskoslezský kraj,2+1,55 ,6750,0
Jihočeský kraj,2+1,78 ,13000,4000
Praha,1+1,44 ,18000,1500
Jihomoravský kraj,1+kk,20 ,20250,6750
Praha,2+1,52 ,34920,11640
Jihomoravský kraj,1+kk,35 ,11900,2400
Praha,2+1,57 ,21500,1400
Středočeský kraj,3+kk,80 ,20000,0
kraj Vysočina,3+kk,63 ,15000,5000
Praha,2+kk,49 ,16500,4500
Praha,2+kk,50 ,18500,4000
Moravskoslezský kraj,2+1,48 ,4470,0
Praha,Garsoniéra,27 ,12500,3500
Jihomoravský kraj,2+1,55 ,14000,3500
Praha,2+kk,46 ,16200,3800
Moravskoslezský kraj,2+1,49 ,8350,0
Praha,Garsoniéra,18 ,11000,2000
Praha,4+1,94 ,27999,3900
Praha,2+kk,43 ,10000,4500
Praha,1+kk,20 ,13167,1333
Praha,3+kk,74 ,28000,5000
Pardubický kraj,2+1,46 ,14000,2000
Moravskoslezský kraj,2+1,51 ,6250,0
Praha,2+kk,55 ,20000,4808
Praha,2+kk,55 ,41250,13750
Moravskoslezský kraj,2+1,51 ,6550,0
Moravskoslezský kraj,1+1,38 ,4950,0
Praha,4+1,85 ,6900,0
Moravskoslezský kraj,2+1,52 ,6900,0
Jihomoravský kraj,1+kk,31 ,12000,2500
Středočeský kraj,Garsoniéra,38 ,12500,2500
Praha,1+kk,25 ,12000,2634
Moravskoslezský kraj,2+kk,46 ,8540,0
Praha,2+kk,35 ,13900,3900
Praha,2+kk,42 ,18500,3500
Moravskoslezský kraj,2+1,57 ,7805,4000
Praha,2+kk,79 ,23500,4000
Jihomoravský kraj,1+1,41 ,15000,3000
Moravskoslezský kraj,2+1,53 ,6400,0
Praha,1+1,40 ,17000,3500
Jihočeský kraj,3+kk,58 ,5500,8000
Praha,1+kk,33 ,13500,2500
Praha,3+1,77 ,23000,4000
Praha,1+1,32 ,14500,1487
Praha,2+kk,55 ,22000,5000
Moravskoslezský kraj,2+1,57 ,5600,4000
Jihomoravský kraj,1+1,40 ,13536,4512
Praha,2+1,75 ,28350,9450
Jihomoravský kraj,2+1,58 ,13000,3800
Praha,3+1,72 ,18000,750
Praha,2+1,80 ,19900,3200
Praha,2+kk,45 ,15000,650
Jihomoravský kraj,1+1,57 ,13500,3500
Královéhradecký kraj,2+1,71 ,10500,2120
Středočeský kraj,1+kk,37 ,13000,3000
Jihomoravský kraj,2+1,58 ,14800,4500
Praha,1+kk,35 ,14500,4000
Praha,3+kk,81 ,22000,6000
Středočeský kraj,Garsoniéra,48 ,10000,2000
Jihomoravský kraj,2+kk,43 ,16200,5400
Jihomoravský kraj,1+kk,45 ,12500,2200
Praha,2+1,77 ,30375,10125
Praha,2+kk,50 ,25920,8640
Praha,3+kk,75 ,22000,1
Středočeský kraj,1+kk,31 ,9500,2000
Středočeský kraj,2+kk,42 ,13500,3500
Praha,2+kk,51 ,14900,2900
Praha,2+kk,65 ,20000,1750
Praha,1+1,51 ,14500,5500
Královéhradecký kraj,3+kk,70 ,16000,3500
Praha,4+1,110 ,53510,17836
Praha,2+1,80 ,42075,14025
Praha,1+kk,42 ,15000,2000
Praha,3+kk,72 ,20000,2700
Praha,3+kk,84 ,23000,6000
Královéhradecký kraj,1+1,35 ,12000,1000
Praha,4+1,90 ,25000,5000
Středočeský kraj,2+kk,64 ,17000,2500
Plzeňský kraj,2+kk,68 ,11645,1800
Praha,2+kk,55 ,14999,2500
Praha,1+kk,25 ,11000,1000
Jihomoravský kraj,2+kk,66 ,19000,3500
Praha,2+kk,63 ,20000,6000
Praha,3+1,70 ,17000,5000
Praha,1+1,42 ,15000,1000
Středočeský kraj,2+kk,42 ,6300,3000
Jihomoravský kraj,Garsoniéra,25 ,9500,1000
Moravskoslezský kraj,1+kk,34 ,5200,0
Praha,3+1,63 ,8000,2500
Praha,2+1,64 ,17000,4800
Praha,2+kk,43 ,14900,3500
Praha,1+kk,36 ,13500,3000
